Statistical profiling result from isolate-00000000004A2560-v8.log, (29583 ticks, 2453 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1399    4.7%          C:\Program Files\nodejs\node.exe
    764    2.6%          C:\Windows\SYSTEM32\ntdll.dll
     10    0.0%          C:\Windows\system32\kernel32.dll

 [JavaScript]:
   ticks  total  nonlib   name
   3773   12.8%   13.8%  LazyCompile: parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:117:18
   3674   12.4%   13.4%  LazyCompile: parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:139:18
   1291    4.4%    4.7%  Stub: LoadICStub
   1220    4.1%    4.5%  LazyCompile: *exec native regexp.js:116:30
   1190    4.0%    4.3%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
   1141    3.9%    4.2%  LazyCompile: *parse C:\code\JS\pegs\lib\runtime\Rule.js:10:10
    905    3.1%    3.3%  LazyCompile: *next native array-iterator.js:32:27
    825    2.8%    3.0%  Handler: An IC handler from the snapshot {1}
    689    2.3%    2.5%  Stub: RegExpExecStub
    587    2.0%    2.1%  LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:74:18
    539    1.8%    2.0%  LazyCompile: *CreateArrayIterator native array-iterator.js:21:29
    515    1.7%    1.9%  Stub: CompareICStub
    499    1.7%    1.8%  Builtin: Call_ReceiverIsNotNullOrUndefined
    448    1.5%    1.6%  Stub: FastArrayPushStub
    438    1.5%    1.6%  LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:284:18
    419    1.4%    1.5%  Stub: FastCloneShallowArrayStub
    379    1.3%    1.4%  LazyCompile: *[Symbol.match] native regexp.js:430:29
    362    1.2%    1.3%  LazyCompile: *match native string.js:105:23
    314    1.1%    1.1%  KeyedLoadIC: A keyed load IC from the snapshot
    286    1.0%    1.0%  Builtin: CallFunction_ReceiverIsAny
    270    0.9%    1.0%  LazyCompile: *values native array-iterator.js:65:21
    253    0.9%    0.9%  LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:93:18
    252    0.9%    0.9%  Stub: LoadConstantStub {1}
    230    0.8%    0.8%  LazyCompile: *passed C:\code\JS\pegs\lib\runtime\Rule.js:9:18
    226    0.8%    0.8%  Stub: FastNewObjectStub
    225    0.8%    0.8%  Builtin: Call_ReceiverIsAny
    197    0.7%    0.7%  KeyedLoadIC: A keyed load IC from the snapshot {1}
    196    0.7%    0.7%  Stub: StoreFieldStub
    189    0.6%    0.7%  Builtin: JSConstructStubGeneric
    170    0.6%    0.6%  Stub: SubStringStub
    168    0.6%    0.6%  LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:156:18
    140    0.5%    0.5%  Handler: next
    115    0.4%    0.4%  Stub: CEntryStub
    110    0.4%    0.4%  Handler: An IC handler from the snapshot {3}
    107    0.4%    0.4%  Handler: An IC handler from the snapshot
    106    0.4%    0.4%  LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:196:18
     86    0.3%    0.3%  Stub: ToBooleanICStub
     84    0.3%    0.3%  Stub: RecordWriteStub
     81    0.3%    0.3%  Builtin: Construct
     77    0.3%    0.3%  Stub: FastNewClosureStub {1}
     77    0.3%    0.3%  LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:268:18
     67    0.2%    0.2%  Stub: LoadConstantStub
     63    0.2%    0.2%  Stub: ToStringStub
     59    0.2%    0.2%  RegExp: [0-9a-f]
     58    0.2%    0.2%  Handler: symbol("Symbol.iterator" hash 3d9211aa)
     51    0.2%    0.2%  RegExp: \\\\
     50    0.2%    0.2%  Stub: CompareICStub {1}
     46    0.2%    0.2%  Stub: LoadConstantStub {2}
     44    0.1%    0.2%  Builtin: ConstructFunction
     42    0.1%    0.2%  RegExp: t
     41    0.1%    0.1%  RegExp: r
     37    0.1%    0.1%  Stub: StoreFieldStub {1}
     37    0.1%    0.1%  LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:234:18
     36    0.1%    0.1%  RegExp: v
