Statistical profiling result from isolate-00000000003D7F50-v8.log, (15530 ticks, 908 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1167    7.5%          C:\Program Files\nodejs\node.exe
    620    4.0%          C:\Windows\SYSTEM32\ntdll.dll
      6    0.0%          C:\Windows\system32\kernel32.dll

 [JavaScript]:
   ticks  total  nonlib   name
   1813   11.7%   13.2%  Stub: LoadICStub
   1159    7.5%    8.4%  LazyCompile: *Rule.parse C:\code\JS\pegs\lib\runtime\Rule.js:22:37
   1051    6.8%    7.7%  LazyCompile: *exec native regexp.js:116:30
    838    5.4%    6.1%  LazyCompile: *Choice.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:182:47
    784    5.0%    5.7%  LazyCompile: *Action.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:355:47
    596    3.8%    4.3%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    594    3.8%    4.3%  Stub: RegExpExecStub
    501    3.2%    3.6%  LazyCompile: *Regex.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:94:46
    459    3.0%    3.3%  Builtin: Call_ReceiverIsNotNullOrUndefined
    449    2.9%    3.3%  Handler: An IC handler from the snapshot {1}
    416    2.7%    3.0%  Stub: FastArrayPushStub
    369    2.4%    2.7%  LazyCompile: *[Symbol.match] native regexp.js:430:29
    363    2.3%    2.6%  Stub: CompareICStub
    342    2.2%    2.5%  LazyCompile: *Sequence.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:152:49
    270    1.7%    2.0%  LazyCompile: *match native string.js:105:23
    223    1.4%    1.6%  Builtin: CallFunction_ReceiverIsAny
    207    1.3%    1.5%  KeyedLoadIC: A keyed load IC from the snapshot {1}
    199    1.3%    1.4%  LazyCompile: *Reference.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:116:50
    185    1.2%    1.3%  LazyCompile: *Repeat.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:205:47
    169    1.1%    1.2%  Builtin: Call_ReceiverIsAny
    119    0.8%    0.9%  Stub: CEntryStub
    109    0.7%    0.8%  Stub: SubStringStub
     97    0.6%    0.7%  LazyCompile: *NotPredicate.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:251:53
     78    0.5%    0.6%  LazyCompile: *Group.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:336:46
     54    0.3%    0.4%  Stub: FastNewClosureStub
     53    0.3%    0.4%  Stub: CompareICStub {1}
     52    0.3%    0.4%  Stub: ToStringStub
     40    0.3%    0.3%  RegExp: \\\\
     38    0.2%    0.3%  RegExp: '
     35    0.2%    0.3%  RegExp: [0-9a-f]
     34    0.2%    0.2%  LazyCompile: *StringValue.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:295:52
     28    0.2%    0.2%  RegExp: u
