Statistical profiling result from isolate-000000000027AC30-v8.log, (177275 ticks, 4035 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  11602    6.5%          C:\Program Files\nodejs\node.exe
   2499    1.4%          C:\Windows\SYSTEM32\ntdll.dll
     30    0.0%          C:\Windows\system32\kernel32.dll
      2    0.0%          C:\Windows\system32\WINMM.dll
      1    0.0%          C:\Windows\system32\RPCRT4.dll

 [JavaScript]:
   ticks  total  nonlib   name
  23815   13.4%   14.6%  Stub: LoadICStub
  16984    9.6%   10.4%  LazyCompile: ~Terminal.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:36:49
  12270    6.9%    7.5%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
  10737    6.1%    6.6%  LazyCompile: *Rule.parse C:\code\JS\pegs\lib\runtime\Rule.js:22:37
   9210    5.2%    5.6%  Handler: An IC handler from the snapshot
   9114    5.1%    5.6%  LazyCompile: *Choice.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:182:47
   7413    4.2%    4.5%  LazyCompile: *Action.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:355:47
   7136    4.0%    4.4%  Builtin: Call_ReceiverIsNotNullOrUndefined
   5578    3.1%    3.4%  Stub: CompareICStub
   5151    2.9%    3.2%  KeyedLoadIC: A keyed load IC from the snapshot
   4709    2.7%    2.9%  Stub: FastArrayPushStub
   4700    2.7%    2.9%  LazyCompile: ~charCodeAt native string.js:50:28
   4396    2.5%    2.7%  Handler: charCodeAt
   2996    1.7%    1.8%  LazyCompile: *Sequence.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:152:49
   2884    1.6%    1.8%  LazyCompile: *Context.failure C:\code\JS\pegs\lib\runtime\Context.js:24:42
   2450    1.4%    1.5%  LazyCompile: *Regex.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:94:46
   2355    1.3%    1.4%  Handler: An IC handler from the snapshot {2}
   2110    1.2%    1.3%  LazyCompile: *Reference.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:116:50
   2023    1.1%    1.2%  LazyCompile: *exec native regexp.js:116:30
   1876    1.1%    1.1%  LazyCompile: *Repeat.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:205:47
   1865    1.1%    1.1%  Stub: RegExpExecStub
   1862    1.1%    1.1%  Stub: CEntryStub
    666    0.4%    0.4%  LazyCompile: *NotPredicate.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:251:53
    602    0.3%    0.4%  Stub: FastNewClosureStub
    598    0.3%    0.4%  Stub: SubStringStub
    565    0.3%    0.3%  Handler: failure
    514    0.3%    0.3%  LazyCompile: *Group.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:336:46
    467    0.3%    0.3%  RegExp: [0-9a-f]
    389    0.2%    0.2%  LazyCompile: *charCodeAt native string.js:50:28
    342    0.2%    0.2%  LazyCompile: *StringValue.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:295:52
    321    0.2%    0.2%  Handler: An IC handler from the snapshot {1}
    250    0.1%    0.2%  RegExp: "[A-Z\\xC0-\\xD6\\xD8-\\xDE\\u0100\\u0102\\u0104\\u0106\\u0108\\u010A\\u010C\\u010E\\u0110\\u0112\\u0114\\u0116\\u0118\\u011A\\u011C\\u011E\\u0120\\u0122\\u0124\\u0126\\u0128\\u012A\\u012C\\u012E\\u0130\\u0132\\u0134\\u0136\\u0139\\u013B\\u013D\\u013F\\u0141\\u0143\\u0145\\u0147\\u014A\\u014C\\u014E\\u0150\\u0152\\u0154\\u0156\\u0158\\u015A\\u015C\\u015E\\u0160\\u0162\\u0164\\u0166\\u0168\\u016A\\u016C\\u016E\\u0170\\u0172\\u0174\\u0176\\u0178-\\u0179\\u017B\\u017D\\u0181-\\u0182\\u0184\\u0186-\\u0187\\u0189-\\u018B\\u018E-\\u0191\\u0193-\\u0194\\u0196-\\u0198\\u019C-\\u019D\\u019F-\\u01A0\\u01A2\\u01A4\\u01A6-\\u01A7\\u01A9\\u01AC\\u01AE-\\u01AF\\u01B1-\\u01B3\\u01B5\\u01B7-\\u01B8\\u01BC\\u01C4\\u01C7\\u01CA\\u01CD\\u01CF\\u01D1\\u01D3\\u01D5\\u01D7\\u01D9\\u01DB\\u01DE\\u01E0\\u01E2\\u01E4\\u01E6\\u01E8\\u01EA\\u01EC\\u01EE\\u01F1\\u01F4\\u01F6-\\u01F8\\u01FA\\u01FC\\u01FE\\u0200\\u0202\\u0204\\u0206\\u0208\\u020A\\u020C\\u020E\\u0210\\u0212\\u0214\\u0216\\u0218\\u021A\\u021C\\u021E\\u0220\\u0222\\u0224\\u0226\\u0228\\u022A\\u022C\\u022E\\u0230\\u0232\\u023A-\\u023B\\u023D-\\u023E\\u0241\\u0243-\\u0246\\u0248\\u024A\\u024C\\u024E\\u0370\\u0372\\u0376\\u037F\\u0386\\u0388-\\u038A\\u038C\\u038E-\\u038F\\u0391-\\u03A1\\u03A3-\\u03AB\\u03CF\\u03D2-\\u03D4\\u03D8\\u03DA\\u03DC\\u03DE\\u03E0\\u03E2\\u03E4\\u03E6\\u03E8\\u03EA\\u03EC\\u03EE\\u03F4\\u03F7\\u03F9-\\u03FA\\u03FD-\\u042F\\u0460\\u0462\\u0464\\u0466\\u0468\\u046A\\u046C\\u046E\\u0470\\u0472\\u0474\\u0476\\u0478\\u047A\\u047C\\u047E\\u0480\\u048A\\u048C\\u048E\\u0490\\u0492\\u0494\\u0496\\u0498\\u049A\\u049C\\u049E\\u04A0\\u04A2\\u04A4\\u04A6\\u04A8\\u04AA\\u04AC\\u04AE\\u04B0\\u04B2\\u04B4\\u04B6\\u04B8\\u04BA\\u04BC\\u04BE\\u04C0-\\u04C1\\u04C3\\u04C5\\u04C7\\u04C9\\u04CB\\u04CD\\u04D0\\u04D2\\u04D4\\u04D6\\u04D8\\u04DA\\u04DC\\u04DE\\u04E0\\u04E2\\u04E4\\u04E6\\u04E8\\u04EA\\u04EC\\u04EE\\u04F0\\u04F2\\u04F4\\u04F6\\u04F8\\u04FA\\u04FC\\u04FE\\u0500\\u0502\\u0504\\u0506\\u0508\\u050A\\u050C\\u050E\\u0510\\u0512\
    233    0.1%    0.1%  LazyCompile: *Terminal.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:36:49
    228    0.1%    0.1%  Handler: An IC handler from the snapshot {3}
    219    0.1%    0.1%  Stub: LoadFieldStub {1}
    206    0.1%    0.1%  RegExp: "[a-z\\xB5\\xDF-\\xF6\\xF8-\\xFF\\u0101\\u0103\\u0105\\u0107\\u0109\\u010B\\u010D\\u010F\\u0111\\u0113\\u0115\\u0117\\u0119\\u011B\\u011D\\u011F\\u0121\\u0123\\u0125\\u0127\\u0129\\u012B\\u012D\\u012F\\u0131\\u0133\\u0135\\u0137-\\u0138\\u013A\\u013C\\u013E\\u0140\\u0142\\u0144\\u0146\\u0148-\\u0149\\u014B\\u014D\\u014F\\u0151\\u0153\\u0155\\u0157\\u0159\\u015B\\u015D\\u015F\\u0161\\u0163\\u0165\\u0167\\u0169\\u016B\\u016D\\u016F\\u0171\\u0173\\u0175\\u0177\\u017A\\u017C\\u017E-\\u0180\\u0183\\u0185\\u0188\\u018C-\\u018D\\u0192\\u0195\\u0199-\\u019B\\u019E\\u01A1\\u01A3\\u01A5\\u01A8\\u01AA-\\u01AB\\u01AD\\u01B0\\u01B4\\u01B6\\u01B9-\\u01BA\\u01BD-\\u01BF\\u01C6\\u01C9\\u01CC\\u01CE\\u01D0\\u01D2\\u01D4\\u01D6\\u01D8\\u01DA\\u01DC-\\u01DD\\u01DF\\u01E1\\u01E3\\u01E5\\u01E7\\u01E9\\u01EB\\u01ED\\u01EF-\\u01F0\\u01F3\\u01F5\\u01F9\\u01FB\\u01FD\\u01FF\\u0201\\u0203\\u0205\\u0207\\u0209\\u020B\\u020D\\u020F\\u0211\\u0213\\u0215\\u0217\\u0219\\u021B\\u021D\\u021F\\u0221\\u0223\\u0225\\u0227\\u0229\\u022B\\u022D\\u022F\\u0231\\u0233-\\u0239\\u023C\\u023F-\\u0240\\u0242\\u0247\\u0249\\u024B\\u024D\\u024F-\\u0293\\u0295-\\u02AF\\u0371\\u0373\\u0377\\u037B-\\u037D\\u0390\\u03AC-\\u03CE\\u03D0-\\u03D1\\u03D5-\\u03D7\\u03D9\\u03DB\\u03DD\\u03DF\\u03E1\\u03E3\\u03E5\\u03E7\\u03E9\\u03EB\\u03ED\\u03EF-\\u03F3\\u03F5\\u03F8\\u03FB-\\u03FC\\u0430-\\u045F\\u0461\\u0463\\u0465\\u0467\\u0469\\u046B\\u046D\\u046F\\u0471\\u0473\\u0475\\u0477\\u0479\\u047B\\u047D\\u047F\\u0481\\u048B\\u048D\\u048F\\u0491\\u0493\\u0495\\u0497\\u0499\\u049B\\u049D\\u049F\\u04A1\\u04A3\\u04A5\\u04A7\\u04A9\\u04AB\\u04AD\\u04AF\\u04B1\\u04B3\\u04B5\\u04B7\\u04B9\\u04BB\\u04BD\\u04BF\\u04C2\\u04C4\\u04C6\\u04C8\\u04CA\\u04CC\\u04CE-\\u04CF\\u04D1\\u04D3\\u04D5\\u04D7\\u04D9\\u04DB\\u04DD\\u04DF\\u04E1\\u04E3\\u04E5\\u04E7\\u04E9\\u04EB\\u04ED\\u04EF\\u04F1\\u04F3\\u04F5\\u04F7\\u04F9\\u04FB\\u04FD\\u04FF\\u0501\\u0503\\u0505\\u0507\\u0509\\u050B\\u050D\\u050F\\u0511\\u0513\\u0515\\u0517\\u0519\\u051B\\u051D\\u051
    145    0.1%    0.1%  LazyCompile: *Any.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:128:44
    130    0.1%    0.1%  Stub: LoadFieldStub
    125    0.1%    0.1%  RegExp: [0-9]
    115    0.1%    0.1%  Stub: ToStringStub
    115    0.1%    0.1%  Stub: CompareICStub {4}
    114    0.1%    0.1%  RegExp: [\\n\\r\\u2028\\u2029]
    105    0.1%    0.1%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:368:9
    104    0.1%    0.1%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:462:9
     93    0.1%    0.1%  Stub: CompareICStub {3}
     92    0.1%    0.1%  LazyCompile: *substring native string.js:298:25
     89    0.1%    0.1%  RegExp: [ \\xA0\\u1680\\u2000-\\u200A\\u202F\\u205F\\u3000]
     84    0.0%    0.1%  Stub: FastNewContextStub
     83    0.0%    0.1%  Stub: CompareICStub {2}
     81    0.0%    0.0%  LazyCompile: Join native array.js:172:14
     80    0.0%    0.0%  Stub: RecordWriteStub
     79    0.0%    0.0%  LazyCompile: *DoJoin native array.js:129:16
     73    0.0%    0.0%  LazyCompile: *DefineIndexedProperty native array.js:48:31
     65    0.0%    0.0%  Stub: CompareICStub {5}
     65    0.0%    0.0%  RegExp: [\\{\\}]
     60    0.0%    0.0%  LazyCompile: *Optional.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:232:49
     56    0.0%    0.0%  LazyCompile: *InnerArrayFilter native array.js:913:26
     47    0.0%    0.0%  Stub: CEntryStub {1}
     45    0.0%    0.0%  LazyCompile: *parseInt native v8natives.js:36:24
     44    0.0%    0.0%  Stub: ToLengthStub
     39    0.0%    0.0%  Handler: parseInternal {441}
     38    0.0%    0.0%  Stub: RecordWriteStub {1}
     38    0.0%    0.0%  Handler: parse {309}
     37    0.0%    0.0%  LazyCompile: ~map native array.js:994:18
     34    0.0%    0.0%  Handler: parseInternal {473}
     34    0.0%    0.0%  Handler: parseInternal {346}
     34    0.0%    0.0%  Handler: parseInternal {338}
     34    0.0%    0.0%  Handler: parseInternal {102}
     33    0.0%    0.0%  Handler: parseInternal {432}
     32    0.0%    0.0%  Handler: parseInternal {397}
     32    0.0%    0.0%  Handler: parseInternal {389}
     32    0.0%    0.0%  Handler: parseInternal {195}
     32    0.0%    0.0%  Handler: parseInternal {113}
     31    0.0%    0.0%  Stub: BinaryOpICStub
     31    0.0%    0.0%  Handler: parseInternal {340}
     31    0.0%    0.0%  Handler: parseInternal {300}
     31    0.0%    0.0%  Builtin: CallFunction_ReceiverIsAny
     31    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline
     30    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:389:9
     30    0.0%    0.0%  Handler: parseInternal {407}
     30    0.0%    0.0%  Handler: parseInternal {391}
     30    0.0%    0.0%  Handler: parseInternal {382}
     30    0.0%    0.0%  Handler: parseInternal {245}
     30    0.0%    0.0%  Handler: parseInternal {223}
     29    0.0%    0.0%  Handler: parseInternal {478}
     29    0.0%    0.0%  Handler: parseInternal {354}
     29    0.0%    0.0%  Handler: parseInternal {225}
     29    0.0%    0.0%  Handler: parse {330}
     28    0.0%    0.0%  RegExp: "[\\u0300-\\u036F\\u0483-\\u0487\\u0591-\\u05BD\\u05BF\\u05C1-\\u05C2\\u05C4-\\u05C5\\u05C7\\u0610-\\u061A\\u064B-\\u065F\\u0670\\u06D6-\\u06DC\\u06DF-\\u06E4\\u06E7-\\u06E8\\u06EA-\\u06ED\\u0711\\u0730-\\u074A\\u07A6-\\u07B0\\u07EB-\\u07F3\\u0816-\\u0819\\u081B-\\u0823\\u0825-\\u0827\\u0829-\\u082D\\u0859-\\u085B\\u08E3-\\u0902\\u093A\\u093C\\u0941-\\u0948\\u094D\\u0951-\\u0957\\u0962-\\u0963\\u0981\\u09BC\\u09C1-\\u09C4\\u09CD\\u09E2-\\u09E3\\u0A01-\\u0A02\\u0A3C\\u0A41-\\u0A42\\u0A47-\\u0A48\\u0A4B-\\u0A4D\\u0A51\\u0A70-\\u0A71\\u0A75\\u0A81-\\u0A82\\u0ABC\\u0AC1-\\u0AC5\\u0AC7-\\u0AC8\\u0ACD\\u0AE2-\\u0AE3\\u0B01\\u0B3C\\u0B3F\\u0B41-\\u0B44\\u0B4D\\u0B56\\u0B62-\\u0B63\\u0B82\\u0BC0\\u0BCD\\u0C00\\u0C3E-\\u0C40\\u0C46-\\u0C48\\u0C4A-\\u0C4D\\u0C55-\\u0C56\\u0C62-\\u0C63\\u0C81\\u0CBC\\u0CBF\\u0CC6\\u0CCC-\\u0CCD\\u0CE2-\\u0CE3\\u0D01\\u0D41-\\u0D44\\u0D4D\\u0D62-\\u0D63\\u0DCA\\u0DD2-\\u0DD4\\u0DD6\\u0E31\\u0E34-\\u0E3A\\u0E47-\\u0E4E\\u0EB1\\u0EB4-\\u0EB9\\u0EBB-\\u0EBC\\u0EC8-\\u0ECD\\u0F18-\\u0F19\\u0F35\\u0F37\\u0F39\\u0F71-\\u0F7E\\u0F80-\\u0F84\\u0F86-\\u0F87\\u0F8D-\\u0F97\\u0F99-\\u0FBC\\u0FC6\\u102D-\\u1030\\u1032-\\u1037\\u1039-\\u103A\\u103D-\\u103E\\u1058-\\u1059\\u105E-\\u1060\\u1071-\\u1074\\u1082\\u1085-\\u1086\\u108D\\u109D\\u135D-\\u135F\\u1712-\\u1714\\u1732-\\u1734\\u1752-\\u1753\\u1772-\\u1773\\u17B4-\\u17B5\\u17B7-\\u17BD\\u17C6\\u17C9-\\u17D3\\u17DD\\u180B-\\u180D\\u18A9\\u1920-\\u1922\\u1927-\\u1928\\u1932\\u1939-\\u193B\\u1A17-\\u1A18\\u1A1B\\u1A56\\u1A58-\\u1A5E\\u1A60\\u1A62\\u1A65-\\u1A6C\\u1A73-\\u1A7C\\u1A7F\\u1AB0-\\u1ABD\\u1B00-\\u1B03\\u1B34\\u1B36-\\u1B3A\\u1B3C\\u1B42\\u1B6B-\\u1B73\\u1B80-\\u1B81\\u1BA2-\\u1BA5\\u1BA8-\\u1BA9\\u1BAB-\\u1BAD\\u1BE6\\u1BE8-\\u1BE9\\u1BED\\u1BEF-\\u1BF1\\u1C2C-\\u1C33\\u1C36-\\u1C37\\u1CD0-\\u1CD2\\u1CD4-\\u1CE0\\u1CE2-\\u1CE8\\u1CED\\u1CF4\\u1CF8-\\u1CF9\\u1DC0-\\u1DF5\\u1DFC-\\u1DFF\\u20D0-\\u20DC\\u20E1\\u20E5-\\u20F0\\u2CEF-\\u2CF1\\u2D7F\\u2DE0-\\u2DFF\\u302A-\\u302D\\u3099-\\u309A\\uA66F\\uA674-\
     28    0.0%    0.0%  Handler: parseInternal {422}
     28    0.0%    0.0%  Handler: parseInternal {374}
     28    0.0%    0.0%  Handler: parseInternal {160}
     28    0.0%    0.0%  Handler: parse {453}
     28    0.0%    0.0%  Handler: parse {379}
     27    0.0%    0.0%  Handler: parseInternal {76}
     27    0.0%    0.0%  Handler: parseInternal {492}
     27    0.0%    0.0%  Handler: parseInternal {464}
     27    0.0%    0.0%  Handler: parseInternal {415}
     27    0.0%    0.0%  Handler: parseInternal {313}
     27    0.0%    0.0%  Handler: parseInternal {178}
     27    0.0%    0.0%  Handler: parseInternal {168}
     27    0.0%    0.0%  Handler: parseInternal {129}
     27    0.0%    0.0%  Handler: parse {41}
     27    0.0%    0.0%  Handler: parse {418}
     27    0.0%    0.0%  Handler: parse {377}
     26    0.0%    0.0%  Stub: RecordWriteStub {5}
     26    0.0%    0.0%  LazyCompile: *list.map.element C:\code\JS\pegs\lib\compiler\Parser.js:49:21
     26    0.0%    0.0%  LazyCompile: *defineProperty native v8natives.js:573:30
     26    0.0%    0.0%  Handler: parseInternal {495}
     26    0.0%    0.0%  Handler: parseInternal {462}
     26    0.0%    0.0%  Handler: parseInternal {455}
     26    0.0%    0.0%  Handler: parseInternal {452}
     26    0.0%    0.0%  Handler: parseInternal {332}
     26    0.0%    0.0%  Handler: parseInternal {328}
     26    0.0%    0.0%  Handler: parseInternal {212}
     26    0.0%    0.0%  Handler: parseInternal {211}
     26    0.0%    0.0%  Handler: parse {393}
     26    0.0%    0.0%  Handler: parse {352}
     26    0.0%    0.0%  Handler: parse {205}
     25    0.0%    0.0%  Handler: parseInternal {471}
     25    0.0%    0.0%  Handler: parseInternal {406}
     25    0.0%    0.0%  Handler: parseInternal {370}
     25    0.0%    0.0%  Handler: parseInternal {364}
     25    0.0%    0.0%  Handler: parseInternal {269}
     25    0.0%    0.0%  Handler: parseInternal {194}
     25    0.0%    0.0%  Handler: parseInternal {182}
     25    0.0%    0.0%  Handler: parseInternal {112}
     25    0.0%    0.0%  Handler: parseInternal {101}
     25    0.0%    0.0%  Handler: parse {27}
     25    0.0%    0.0%  Handler: parse {235}
     25    0.0%    0.0%  Handler: parse {153}
     25    0.0%    0.0%  Handler: parse {107}
     24    0.0%    0.0%  Handler: parseInternal {479}
     24    0.0%    0.0%  Handler: parseInternal {45}
     24    0.0%    0.0%  Handler: parseInternal {418}
     24    0.0%    0.0%  Handler: parseInternal {309}
     24    0.0%    0.0%  Handler: parseInternal {302}
     24    0.0%    0.0%  Handler: parseInternal {273}
     24    0.0%    0.0%  Handler: parseInternal {230}
     24    0.0%    0.0%  Handler: parse {449}
     24    0.0%    0.0%  Handler: parse {302}
     24    0.0%    0.0%  Handler: parse {214}
     24    0.0%    0.0%  Handler: parse {197}
     24    0.0%    0.0%  Handler: parse {14}
     23    0.0%    0.0%  Handler: parseInternal {355}
