This performance isn't much better than before. It's with regular expressions running in place of standard terminal checks outside of debug mode.

Statistical profiling result from isolate-00000000004B26A0-v8.log, (30922 ticks, 2235 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    620    2.0%          C:\Program Files\nodejs\node.exe
    293    0.9%          C:\Windows\SYSTEM32\ntdll.dll
     11    0.0%          C:\Windows\system32\kernel32.dll
      1    0.0%          C:\Windows\system32\KERNELBASE.dll
      1    0.0%          C:\Program Files (x86)\AVG\Antivirus\x64\aswhooka.dll

 [JavaScript]:
   ticks  total  nonlib   name
   3047    9.9%   10.2%  LazyCompile: *exec native regexp.js:116:30
   2737    8.9%    9.1%  Stub: RegExpExecStub
   2534    8.2%    8.4%  LazyCompile: *Choice.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:178:47
   2089    6.8%    7.0%  Stub: LoadICStub
   2039    6.6%    6.8%  LazyCompile: *Rule.parse C:\code\JS\pegs\lib\runtime\Rule.js:22:37
   1635    5.3%    5.5%  LazyCompile: *Terminal.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:46:49
   1204    3.9%    4.0%  LazyCompile: *test native regexp.js:260:28
   1157    3.7%    3.9%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    942    3.0%    3.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
    678    2.2%    2.3%  Handler: An IC handler from the snapshot {1}
    514    1.7%    1.7%  LazyCompile: ~CharRange.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:85:50
    459    1.5%    1.5%  LazyCompile: ~CharRange.charMatches C:\code\JS\pegs\lib\runtime\Rules.js:92:48
    446    1.4%    1.5%  Stub: CompareICStub
    356    1.2%    1.2%  LazyCompile: *CharRange.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:85:50
    264    0.9%    0.9%  Builtin: CallFunction_ReceiverIsAny
    218    0.7%    0.7%  Stub: ToStringStub
    183    0.6%    0.6%  LazyCompile: *Action.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:351:47
    142    0.5%    0.5%  Stub: FastArrayPushStub
    138    0.4%    0.5%  Handler: parseInternal {16}
    131    0.4%    0.4%  Handler: parse {13}
    117    0.4%    0.4%  Builtin: Call_ReceiverIsAny
    116    0.4%    0.4%  KeyedLoadIC: A keyed load IC from the snapshot
    113    0.4%    0.4%  LazyCompile: *CharRange.charMatches C:\code\JS\pegs\lib\runtime\Rules.js:92:48
     86    0.3%    0.3%  Stub: CompareICStub {3}
     83    0.3%    0.3%  Handler: parse {6}
     78    0.3%    0.3%  Stub: ToLengthStub
     75    0.2%    0.3%  Handler: charAt
     75    0.2%    0.3%  Builtin: ArgumentsAdaptorTrampoline
     67    0.2%    0.2%  Handler: parse {1}
